artist,album,track,uri,genero_principal,generos_secundarios
Mazzy Star,Among My Swan,Roseblood,spotify:track:2qV5Ce0sMlFsrseRO5CTMU,Indie / Unmapped,Alternative / Various
DJ MÄMI,La Barca,La Barca,spotify:track:03iCr1B8s4H9InN366qWzf,Indie / Unmapped,Alternative / Various
Mac Miller,Circles,Complicated,spotify:track:3WfSNAoj2D8C9noPSGZZFM,Indie / Unmapped,Alternative / Various
Poncho,Ponchototal + Remixes,Tantra Sky (Silver City Remix),spotify:track:5oQS3IaRUSoDbAHPqxz50o,Indie / Unmapped,Alternative / Various
Babasonicos,Trinchera,Madera Ideológica,spotify:track:76fRqikkTZMAVsr7OVPZxl,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Sui Generis,Vida,Estación,spotify:track:2qu4H3mIZ1Gdj33TISErup,Rock Argentino,"Folk Rock, Progressive Rock"
Babasonicos,Infame,Gratis,spotify:track:6dlXEW7tH6Fs8qdUehMbuS,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Intoxicados,No Es Solo Rock And Roll,No Tengo Ganas,spotify:track:5LIHbW6EG9IRlIaXfcuFnH,Indie / Unmapped,Alternative / Various
Intoxicados,Otro Día en el Planeta Tierra,Espero Que la Vida,spotify:track:5KhZjG6XuJpNurvBCFmLk5,Indie / Unmapped,Alternative / Various
Soda Stereo,Comfort Y Musica Para Volar,Pasos - MTV Unplugged,spotify:track:4Tm0tTVcYTyn5lD7qEJkVU,Rock Argentino,"Alternative Rock, Post-Punk, Shoegaze"
Usted Señalemelo,II,Mañana,spotify:track:1gzLL9KoBghJpD0KMxceOi,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Dillom,Por cesárea,Cirugía,spotify:track:0uFRDicafe9Gto0v2pk3kT,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk"
Ric Ocasek,¡Geniuses Working! Vol. 2,Emotion In Motion,spotify:track:60DbnRZ8A533xLFaST6Oj6,New Wave,"Power Pop, Synth-Pop"
Café Tacvba,Re,El baile y el salón,spotify:track:63QpuNHIZ8APaK37LkV8Xd,Rock en Español,"Latin Alternative, Experimental Rock"
Mi Amigo Invencible,Olimpica,Olimpica,spotify:track:4C7Jyx5dYGVEVxFh8M1V87,Indie / Unmapped,Alternative / Various
Aretha Franklin,Aretha Now,I Say a Little Prayer,spotify:track:3NfxSdJnVdon1axzloJgba,Indie / Unmapped,Alternative / Various
Jorge Drexler,Taracá,Te llevo tatuada,spotify:track:2i5QOIGSKHw8TP5ljZJg5w,Indie / Unmapped,Alternative / Various
Charly García,Piano Bar,Total Interferencia,spotify:track:5InJsNKDCwm7Oi0Xujkhvs,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
La Renga,A Donde Me Lleva La Vida,Triste Canción De Amor,spotify:track:0LTPPsp9xmM92ZT6pGvsrz,Rock Argentino,"Hard Rock, Heavy Blues"
El Kuelgue,Cuentito,Altos Vuelos,spotify:track:0SzrAOU6DF25DYKwAZMNvs,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock"
Arcade Fire,WE,WE,spotify:track:6Np3zFUJTwBiF3kX9cewUD,Indie Rock,"Art Rock, Alternative Rock"
Juana Molina,Un día,Un día,spotify:track:2fbYlHODdH37cpdFXmnP0z,Folktronica,"Experimental Electronic, Art Pop"
José González,Local Valley,El Invento,spotify:track:1rEv74zr71OnJQfWp5MbOT,Indie Folk,"Acoustic, Singer-Songwriter"
Paul McCartney,Flaming Pie,Calico Skies - 2020 Remaster,spotify:track:3ZYGUrQ8qZiHv8FAaJ72Uo,Indie / Unmapped,Alternative / Various
Cocteau Twins,Heaven or Las Vegas,Cherry-coloured Funk,spotify:track:37pKTyMwalomKCZjxTc2QZ,Dream Pop,"Shoegaze, Post-Punk, Etherial Wave"
Charly García,Pubis Angelical / Yendo De La Cama Al Living,Peluca Telefónica,spotify:track:20FekvZdeYcUPYi6gOmAgX,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
La Renga,La Renga,Vende Patria Clon,spotify:track:2Syb6W5S2tEjMS2AGTlPzj,Rock Argentino,"Hard Rock, Heavy Blues"
Fabiana Cantilo,Hija del Rigor,Una Tregua,spotify:track:7bZ8erPLv4zulyDVL66dJQ,Indie / Unmapped,Alternative / Various
Viejas Locas,Hermanos De Sangre,Aunque A Nadie Ya Le Importe,spotify:track:1vjq8CYHjEldjWPCCBTu2Y,Rock Stone,"Blues Rock, Rock and Roll"
Gauchito Club,Guandanara,La Pibita,spotify:track:5y1fGA0357uOjtoN3iPsnF,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
Fito Paez,Grandes Exitos,Ambar Violeta,spotify:track:4Ms8z0yHQMiSvHbyiYPiz6,Rock Argentino,"Pop Rock, Piano Rock"
Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Mi Tierra Veracruzana (feat. Los Macorinos),spotify:track:1CIuTzWLQ3sxScgFJzUhWT,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor"
Trueno,Lo Tengo,LO TENGO,spotify:track:5ynDRNBqzffgtqSSxuIovs,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap"
Morphine,Cure for Pain,Cure for Pain,spotify:track:3hO9gaVixKDoYDrlTBrEWf,Low Rock,"Alternative Rock, Jazz Rock, Blues Rock"
El Plan De La Mariposa,Llega llega llega,Llega llega llega,spotify:track:2lOCxL2Z9fNjKD9FsOi3sS,Rock Latino,"Folk Rock, Progressive Rock"
Regina Spektor,Begin to Hope,That Time,spotify:track:2lLZotRXsQL3k2xX8rhl7q,Indie / Unmapped,Alternative / Various
The Velvet Underground,The Velvet Underground,After Hours,spotify:track:6cA1usDL8nTHeSgFewQat3,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock"
Underworld,1992 - 2012,Born Slippy (Nuxx),spotify:track:7xQYVjs4wZNdCwO0EeAWMC,Techno,"Progressive House, Trance, Electronic"
Amy Winehouse,Lioness: Hidden Treasures,Like Smoke,spotify:track:2r45rookK2awLkiOHOef1o,Neo-Soul,"Soul, Ska / Reggae, R&B"
Oscar Moro,Moro - Satragni,Como Me Gustaria Ser Negro,spotify:track:1NkrXZQURigjwEMsa8ZS19,Indie / Unmapped,Alternative / Various
The Doors,Morrison Hotel,Indian Summer,spotify:track:2hdeaGl9nT3UoQIgSqctHj,Indie / Unmapped,Alternative / Various
Los Abuelos De La Nada,No Se Desesperen,No Se Desesperen,spotify:track:16fQJH72y7KPoLEzIaFXxG,Indie / Unmapped,Alternative / Various
Franco Bianco,Jorge Drexler Remixes,El Fuego y el Combustible,spotify:track:40EFWHW1EQ0yeCNk24jwqg,Electronic,"Tech House, Techno"
Las Ligas Menores,Las Ligas Menores,A 1200 Km,spotify:track:4zdEcOj9IEAE1cWG7zzYxB,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk"
Bad Bunny,DeBÍ TiRAR MáS FOToS,BAILE INoLVIDABLE,spotify:track:2lTm559tuIvatlT1u0JYG2,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Dillom,Por cesárea,Ciudad de la Paz,spotify:track:2H8upfbsuPJS7YfPVi4Wys,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk"
Mac Miller,Circles,Blue World,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,Indie / Unmapped,Alternative / Various
The Chemical Brothers,The Darkness That You Fear,The Darkness That You Fear,spotify:track:4ahFzFAZRpfWaGbA2J3dAq,Indie / Unmapped,Alternative / Various
Intoxicados,Otro Día en el Planeta Tierra,Las cosas que no se tocan,spotify:track:5Y3T9zncw2XDAcn9pFliKT,Indie / Unmapped,Alternative / Various
El Mató a un Policía Motorizado,El Mató a un Policía Motorizado,Doctora Muerte,spotify:track:4YRJMFdjebSnTGXwT7egSI,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Depeche Mode,Black Celebration (Deluxe),A Question of Lust,spotify:track:3eN5LFnqtfPAR7Jr8i2QuE,Indie / Unmapped,Alternative / Various
Red Hot Chili Peppers,One Hot Minute,My Friends,spotify:track:6HksxcBzMVdT17aq1Q79Xe,Alternative Rock,"Funk Rock, Hard Rock"
El Principe,Buraco Incivilizado I y II. 1984/86,Quisiera despertar,spotify:track:09o9M2M2BMiAkilYaR8Xwx,Indie / Unmapped,Alternative / Various
The Honeydrippers,"The Honeydrippers, Vol. 1",Sea of Love - 2006 Remaster,spotify:track:0VMGij4wSGBM5pSTcqjxeD,Indie / Unmapped,Alternative / Various
Bob Marley,"Bob Marley - The King Of Reggae (89 legendary tracks including original tunes, tributes from reggae stars and an exclusive Marley family live at Central Park)",Do It Twice,spotify:track:5HYYXt4LjTpyJpZLMjPkfL,Indie / Unmapped,Alternative / Various
Arcade Fire,WE,Unconditional I (Lookout Kid),spotify:track:6xcrYjTKuONMfC1Qoc6Bdy,Indie Rock,"Art Rock, Alternative Rock"
Nación Ekeko,Qomunidad,Como la Cigarra,spotify:track:71TszWoKpR2Qdz4lnFsk1J,Indie / Unmapped,Alternative / Various
The Smashing Pumpkins,Siamese Dream,Luna - 2011 Remaster,spotify:track:5Q6Xzp25aXYxNJ4B6vBkcf,Alternative Rock,"Dream Pop, Grunge"
The Rolling Stones,Tattoo You,Waiting On A Friend - Remastered 2009,spotify:track:4Wd9pEtEnZNDjgiswGOpJb,Classic Rock,"Blues Rock, Roots Rock"
Las Ligas Menores,"Gigante - Un Tributo Argentino a Pixies, Vol. 1",Todo Lo Que Pienso Hoy,spotify:track:5nEbXCA9jYWATvZN19Zj5y,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk"
Marilina Bertoldi,PARA QUIEN TRABAJAS Vol. I,EL GORDO,spotify:track:500kQAqm0AVQIPXIe6o1Ie,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Isla de Caras,Idiota,Idiota,spotify:track:3O2E9WRQrmHp8FqPzIYWPT,Indie Pop,"Dream Pop, R&B Soul"
Los Piojos,3er Arco,Gris,spotify:track:2v7rhTFwDVQSdRiheHpYWS,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock"
El Mató a un Policía Motorizado,Medalla de Oro,Medalla de Oro,spotify:track:3e43fFQ7FOO2ic7wTnzwBl,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Maria Gabriela Epumer,Perfume,Quiero Estar Entre Tus Cosas,spotify:track:04edngTKM9codmbw4JCkVY,Indie / Unmapped,Alternative / Various
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,spotify:track:25Syi9wnfn6ZGAmiOBypPq,Indie / Unmapped,Alternative / Various
Pedro Pastor,SoloLuna,La Raíz,spotify:track:3DpKEhJZGe7qcy0K5XMd1h,Indie / Unmapped,Alternative / Various
Spinetta Y Los Socios Del Desierto,Spinetta y los Socios del Desierto,Holanda,spotify:track:673LL4gFJTCnN49guuWI0i,Power Trio / Rock,"Hard Rock, Funk Rock, Fusion"
Paul Higgs,La Perla Perdida,Daba La Casualidad,spotify:track:3nyomKW2FV4pZKuapifMjD,Indie / Unmapped,Alternative / Various
The Rolling Stones,Jumpin' Jack Flash / Child Of The Moon,Child Of The Moon,spotify:track:6Dyg43VP3iKxWQhF2b160J,Classic Rock,"Blues Rock, Roots Rock"
Cat Power,The Covers Record,Sea of Love,spotify:track:33kKcOJoyNduHwXhEnga8X,Indie / Unmapped,Alternative / Various
Patricio Rey y sus Redonditos de Ricota,Lobo Suelto,La Hija del Fletero,spotify:track:3xZB4ogU6Y9g0VuekPmAO5,Rock Argentino,"Post-Punk, Hard Rock"
Perotá Chingó,Raíces,El Tiempo Está Después,spotify:track:4nQuCvORJ38iJzJEUgPend,World Music,"Folk Latinoamericano, Acoustic Indie"
The Beatles,Please Please Me,There's A Place - Remastered 2009,spotify:track:4dessGxnKXmTbHPhVgqODq,Indie / Unmapped,Alternative / Various
Las Pelotas,Para Qué?,Cuándo Podrás Amar,spotify:track:5BFP1gLPvRrO0Po2oQRo6m,Rock Argentino,"Reggae Rock, Post-Punk"
Babasonicos,A Propósito,Tormento,spotify:track:1RQm3L3dkYbEJDmgJEOG71,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Mac DeMarco,This Old Dog,Moonlight on the River,spotify:track:2fhOljbX79loRcdl47SFye,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Silvio Rodríguez,Cuba Classics 1: Silvio Rodriguez,Playa Girón,spotify:track:4JxgNOeCKwKXyiUDw3HX4h,Nueva Trova Cubana,"Trova, Canción de Autor"
Charly García,Piano Bar,Piano Bar,spotify:track:1sTDXvAhC6dJQUCJtmmahR,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Finn,In Luv With U,In Luv With U,spotify:track:40XwcZVS7Oh7VvBuOWrgkk,Lo-Fi House,"Electronic, Chillwave"
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,I'll Be Your Mirror,spotify:track:4PINSJIlBWsnVeveicq1S8,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock"
Charly García,Piano Bar,Cerca De La Revolucion,spotify:track:66grIvFLGrI4tNhggO2DAd,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
The Flaming Lips,The Soft Bulletin,Race for the Prize - 2017 Remaster,spotify:track:1RZlGlz8eXT1KmJYpqFRzH,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental"
Tribalistas,Tribalistas,Velha Infância - 2004 Digital Remaster,spotify:track:1mSxbLW7fKABfeY4lGpg0E,MPB,"Pop Brasileño, Acoustic Fusion"
Lucy Patané,"Ay, Mi Gorrión!","Ay, Mi Gorrión!",spotify:track:0txPwD3oxvQ7dlLnYlmkLh,Rock Alternativo,"Experimental Folk, Post-Punk"
Trueno,BIEN O MAL,TIERRA ZANTA,spotify:track:73zQG7t3tZDyePEflVSqJJ,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap"
Babasonicos,Mucho,Las Demás,spotify:track:0PpcE48eM1V7EIkA34972n,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Babasonicos,Anoche,Examenes,spotify:track:5eo0pJS4XsHvth4Ad57lL0,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Fito Paez,Giros,D.L.G.,spotify:track:07lxnZrmkLsw4nvnkeuyf7,Rock Argentino,"Pop Rock, Piano Rock"
Illya Kuryaki & The Valderramas,Versus,Expedición Al Klama Hama,spotify:track:0iLy9clhTrnBVYkLntoh5p,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B"
Pixies,Head Carrier,All I Think About Now,spotify:track:3NfqN997u9A3YAAafgzhIa,Indie / Unmapped,Alternative / Various
Ratones Paranoicos,Los chicos quieren Rock 2009,Carol,spotify:track:2xNMLXfEmXtGei1BdWiwMH,Rock and Roll,"Garage Rock, Blues Rock"
Las Ligas Menores,Fuego Artificial,La Paciencia,spotify:track:4hHtVsZn159BxD5oBrlkBX,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk"
Nahuel Piscitelli,3palabras: Madera II,Cabo II,spotify:track:2sGRIfwCjKF4rApPrkXsNe,Indie / Unmapped,Alternative / Various
Charly García,Parte De La Religion,Adela en el Carrousell,spotify:track:4Pz6d9chtIKUQ628KWDZpR,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Indio Solari,"El Ruiseñor, el Amor y la Muerte",La Pequeña Mamba,spotify:track:3umlS2fKBSIS9BElMkRmYs,Rock Argentino,"Hard Rock, Art Rock"
The Flaming Lips,Yoshimi Battles the Pink Robots,"Yoshimi Battles the Pink Robots, Pt. 1",spotify:track:0ccCwNzXvr1Yoz91vKz31Z,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental"
Lucas Martí,La Memoria de un Kiss,La Memoria de un Beso,spotify:track:1tXQq3pgtv7qIu8uzbxtZd,Indie / Unmapped,Alternative / Various
The Cure,Wild Mood Swings,Mint Car,spotify:track:7qq2OOmApODpp23lPP7ds1,Post-Punk,"Gothic Rock, New Wave, Pop Rock"
Charly García,La Hija de la Lágrima,Kurosawa,spotify:track:0ZkJhrECVkTPyIPNw6mv1c,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Rosario Bléfari,Estaciones,Estaciones,spotify:track:3UbJX4tCBRU6hTswDcVmlC,Indie / Unmapped,Alternative / Various
John Lennon,Walls And Bridges,#9 Dream - Remastered 2010,spotify:track:4ZVWvCUwsOnIGmJMj71RkG,Classic Rock,"Singer-Songwriter, Pop Rock"
Polo & Pan,Cyclorama,Tunnel,spotify:track:4at0npP4QkdIUulFZIsYft,Electro-Tropical,"French Touch, Downtempo, House"
Perotá Chingó,Un Viajecito,Bañado Norte,spotify:track:09x18IT91LSGMeqpkpiHiV,World Music,"Folk Latinoamericano, Acoustic Indie"
Jeff Buckley,Grace (Legacy Edition),"Mama, You Been on My Mind - Studio Outtake - 1993",spotify:track:4yg2qSpnVAbQLPjCJTWwtY,Alternative Rock,"Singer-Songwriter, Folk Rock"
Miguel Abuelo,Cinco Décadas de Rock Argentino: Primera Década 1966 - 1976,Mariposas de Madera,spotify:track:79jtxqGU4wDBLtIum8hPzr,Rock Argentino,"Psych Rock, Folk Rock, Canción de Autor"
Tonolec,Cantos de la Tierra Sin Mal,Tierra Quebrada,spotify:track:2viFJyTDaVL7RoDXkXTKuD,Indie / Unmapped,Alternative / Various
PJ Harvey,"Stories From The City, Stories From The Sea",This Is Love,spotify:track:1Cjjt528nUeuGrHk6opLbh,Indie / Unmapped,Alternative / Various
NAFTA,Quiero Verte,Quiero Verte,spotify:track:0nddhkhTtvxd7kh7QdnkFR,Neo-Soul,"R&B, Funk Calmo"
Pescado Rabioso,Pescado Rabioso 2,Como el Viento Voy a Ver,spotify:track:3d6LjlWumSGnvSpTCJjWDi,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo"
Babasonicos,Trinchera,La Izquierda de la Noche,spotify:track:6Z1ljEyzvcjq3WcGrKXBIB,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Gustavo Cerati,Bocanada,Alma,spotify:track:69wr7sFvZbeU8TKu1K3X9U,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion"
Arcade Fire,Neon Bible,Intervention,spotify:track:7Bl5Fqa2g1UFs2O1VJiKhb,Indie Rock,"Art Rock, Alternative Rock"
Joni Mitchell,Blue,All I Want,spotify:track:7jeSFewaQLq8t2x8OZFQxZ,Folk,"Singer-Songwriter, Vocal Jazz"
Los Besos,EP 1,¿Cómo estás?,spotify:track:7mrZb8m88Mo3aT6zQX1b6b,Indie Pop,"Canción de Autor, Art Pop"
Gustavo Pena - El Príncipe,A Coisa Diferente,Pescador de maravillas,spotify:track:0SgkswqKTJ7C4WdCJjTuhj,Canción de Autor,"Candombe Beat, Folk Uruguayo"
Bad Bunny,Un Verano Sin Ti,Neverita,spotify:track:31i56LZnwE6uSu3exoHjtB,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Charly García,Filosofía Barata y Zapatos de Goma,Filosofía Barata y Zapatos de Goma,spotify:track:03mG8gRIri8ZO92bYmcERo,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Red Hot Chili Peppers,Nerve Flip,Nerve Flip,spotify:track:3cIRhs4twfgki25wLPhUqA,Alternative Rock,"Funk Rock, Hard Rock"
Lou Reed,Transformer,Satellite of Love,spotify:track:5WyuRWUcOOhAic0tj9Pl28,Glam Rock,"Art Rock, Proto-Punk"
Perotá Chingó,Perotá Chingó,Inca Yuyo,spotify:track:1ibvBbozm4ZhS0yQOrdQJZ,World Music,"Folk Latinoamericano, Acoustic Indie"
Juan Luis Guerra 4.40,Panete Salsa: Le Meilleur de la Musique Latine,Ojala Que Llueva Café,spotify:track:7z1v8mPWHK8w806oHozzlV,Indie / Unmapped,Alternative / Various
Gorillaz,Cracker Island,Tormenta (feat. Bad Bunny),spotify:track:38UYeBLfvpnDSG9GznZdnL,Alternative Pop,"Hip-Hop, Synth-Pop, Reggaeton / Dub"
Los Besos,Un Disco de Los Besos,Soy tu ventana,spotify:track:2UuojXmY5Mq1VN9l2SK9IJ,Indie Pop,"Canción de Autor, Art Pop"
Luca Prodan,Perdedores Hermosos (Remastered 2021),Soul Love,spotify:track:4xt7tshGAFOPfyznL1ZmFT,Indie / Unmapped,Alternative / Various
Indio Solari,El Perfume de la Tempestad,Black Russian,spotify:track:5Gj48C8xVPJyTOJpSyllmY,Rock Argentino,"Hard Rock, Art Rock"
The Velvet Underground,VU,I'm Sticking With You,spotify:track:1iJiJfFkhwpSh1m8qTgZ5A,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock"
Melanie Williams,NT al sol,NT al sol,spotify:track:7maIZJiVUL5HBOzjFqOwp0,Indie / Unmapped,Alternative / Various
Zenon Pereyra,Bossanova,Bossanova,spotify:track:2ZgGStsZYfObB9TnhGDMoa,Indie / Unmapped,Alternative / Various
Planta & Canta,Bosque de Canciones,El Jardinero,spotify:track:1kZJgJDwflrzAYc11GaPUk,Reggae Fusion,"Dub, Ska"
Valle de Muñecas,La Autopista Corre del Océano Hasta el Amanecer,Gotas en la Frente,spotify:track:4NIW9Jbn5g5tWrvMaFWF9P,Indie / Unmapped,Alternative / Various
Julian Casablancas,Phrazes For The Young,11th Dimension,spotify:track:6i99ThziImjuFABb8rUQvy,Indie Rock,"New Wave, Synth-Pop"
Stone Temple Pilots,Tiny Music...Songs from the Vatican Gift Shop,Lady Picture Show,spotify:track:6y1I8cGzw6KWy2zPA572Jq,Alternative Rock,"Grunge, Psychedelic Rock"
Usted Señalemelo,II,"Puedo Morir, Puedo Caer",spotify:track:2vsLYhay0arlPRWJVOsNDq,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
La Renga,Bailando En Una Pata,Blues De Bolivia - Live,spotify:track:3SUkmXTNn1F0fsJhNNbHVv,Rock Argentino,"Hard Rock, Heavy Blues"
Luis Alberto Spinetta,Para Los Arboles,Halo Lunar,spotify:track:3wOYvjH7WoG3MBhO9JOu1g,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Babasonicos,Mucho,El ídolo,spotify:track:0lbTkNvSWghDKnoBpN2IdN,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Wings,At the Speed of Sound,Let 'Em In - 2014 Remaster,spotify:track:37RqEET1SYQaAcHDxDQLZY,Indie / Unmapped,Alternative / Various
Las Pelotas,Máscaras de Sal,Capitán América,spotify:track:1NhLJcFWLjrBax77kFft28,Rock Argentino,"Reggae Rock, Post-Punk"
Massive Attack,Mezzanine,Teardrop,spotify:track:67Hna13dNDkZvBpTXRIaOJ,Indie / Unmapped,Alternative / Various
Los Abuelos De La Nada,Los Abuelos De La Nada 1,Sintonía Americana - 1994 Remastered Version,spotify:track:4N80pujqpcSwz68h4pUmQs,Indie / Unmapped,Alternative / Various
Elis Regina,Elis & Tom,Águas De Março,spotify:track:15ouqiBsgL12olEwP3COsH,MPB,"Bossa Nova, Jazz Vocal"
Serú Girán,Serú Girán,Voy a Mil - 2021 Remasterizado,spotify:track:2FUGCw4GCemKePmWDeriSt,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Os Mutantes,"""Os Mutantes""",A Minha Menina,spotify:track:0lGEWOZvMexZFXckBJxlVO,Tropicalismo,"Psychedelic Rock, Garage Rock"
Emmanuel Horvilleur,Llamame,Llamame,spotify:track:52pBr4O7TlAQ7rDS8TPxlf,Pop Rock,"Funk Pop, Electro Funk"
Milo j,Jangadero,Jangadero,spotify:track:6baKbE9hmJotIaHULwyIpF,Indie / Unmapped,Alternative / Various
Juan Mango,Portal,Portal,spotify:track:0MxPuXGtXYnj83PAfZdNNq,Indie / Unmapped,Alternative / Various
Paul McCartney,McCartney,Every Night - Remastered 2011,spotify:track:7zE7VClzAEYa9nUDC950pT,Indie / Unmapped,Alternative / Various
Led Zeppelin,Led Zeppelin III,That's the Way - Remaster,spotify:track:3UsvZGhlJrBTX2OWXh2BvC,Hard Rock,"Blues Rock, Folk Rock, Heavy Metal Primigenio"
Bob Dylan,Highway 61 Revisited,Queen Jane Approximately,spotify:track:0c2DAekH6ZEnHhf8dM1leK,Folk Rock,"Singer-Songwriter, Classic Rock"
El Mató a un Policía Motorizado,La Sintesis O'Konor,La Noche Eterna,spotify:track:0oTDAJdyXD32cvawlw4Vpd,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Perotá Chingó,Un Viajecito,Amalia Rosa,spotify:track:0AsyylHTABff6hq8fRhhNu,World Music,"Folk Latinoamericano, Acoustic Indie"
Almendra,Almendra,A Estos Hombres Tristes,spotify:track:20cWhGpoXZh9u3UZq2V97X,Indie / Unmapped,Alternative / Various
Silvio Rodríguez,Al Final de Este Viaje...,Al Final de Este Viaje en la Vida,spotify:track:2ja41V8fXBHRDTl3O9zw5L,Nueva Trova Cubana,"Trova, Canción de Autor"
Divididos,La Era De La Boludez,Paisano De Hurlingham,spotify:track:66KDj2t28qNJVXeiWaSiIr,Rock Argentino,"Hard Rock, Funk Rock, Folklore Rock"
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Moonage Daydream - 2012 Remaster,spotify:track:6mib3N4E8PZHAGQ3xy7bho,Indie / Unmapped,Alternative / Various
Babasonicos,Discutible,Ingrediente,spotify:track:6M6aCePRkHqmQsUGa6BegN,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Manic Street Preachers,Send Away The Tigers,Your Love Alone Is Not Enough (feat. Nina Persson),spotify:track:37pFLuNVnAJQL9ysRoKTdy,Indie / Unmapped,Alternative / Various
Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario,La Grasa de las Capitales - 2019 Remasterizado,spotify:track:13dtguSlp2rssEcyxUyZVC,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Luis Alberto Spinetta,Téster de Violencia,Parlante,spotify:track:63Cr4pb0UltOPj9OOtvECT,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
ROSALÍA,Los Ángeles,Si Tú Supieras Compañero,spotify:track:0lEaqq59YmCxJNB6cb209Y,Nuevo Flamenco,"Latin Alternative, Bolero Fusion, Experimental Pop"
Charli xcx,Wink Wink,Wink Wink,spotify:track:6GjXR9FaxCuDNbqBrP9aYO,Hyperpop,"Dance-Pop, Synth-Pop, Electronic"
Natalia Lafourcade,De Todas las Flores,Mi manera de querer,spotify:track:2rT9arG3oKOPquWNik5l73,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor"
Babasonicos,Anoche,Un Flash,spotify:track:0CslZ6nd2hT1DbD1kvYNPV,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Luis Alberto Spinetta,Pan,Sinfín,spotify:track:1hENTuRVwnmNk4S49oga7a,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Perotá Chingó,Muta,Aurora,spotify:track:0ZPppuFkZDXSvzuOpY0AV9,World Music,"Folk Latinoamericano, Acoustic Indie"
El Plan De La Mariposa,Devorando Intensidad,Mar Argentino,spotify:track:4ZQ3f6tzNqpaaX21sIqfVH,Rock Latino,"Folk Rock, Progressive Rock"
Pedro Aznar,Cuerpo y Alma,Cuerpo y Alma,spotify:track:7jj8MKGdgr66LXaReGNp4h,Canción de Autor,"Jazz Fusion, Folklore Fusion, Pop Rock"
Thundercat,Drunk,Them Changes,spotify:track:7CH99b2i1TXS5P8UUyWtnM,Indie / Unmapped,Alternative / Various
El Plan De La Mariposa,Estado de Enlace,Oro de Abeja,spotify:track:2q3GgW71FqrEfFFtdWC3tJ,Rock Latino,"Folk Rock, Progressive Rock"
